ID	DOCULECT	LATITUDE	LONGITUDE	GLOTTOCODE	FAMILY	CONCEPT	FORM	TOKENS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGID	ALIGNMENT
178	Miskito	15.1576	-84.2942	misk1235	Misumalpan	FALL	kauxaia	k a u x a i a	1 7 7 3 7 7 7	AXYBYYZ	KAYGAIA	3	3.K.C 3.A.V 3.Y.V 3.G.C 3.A.V 3.I.V 3.A.V	2.0 1.5 1.3 1.75 1.3 1.3 0.8	kauxaia	0	59	
24	Cacaopera	13.74	-88.11	caca1247	Misumalpan	FAR	ataptika	a t a p t i k a	7 1 7 1 1 7 1 7	XBYMBYBZ	ATAPTIKA	1	1.A.V 1.T.C 1.A.V 1.P.c 1.T.C 1.I.V 1.K.C 1.A.V	1.5 1.75 1.3 1.1 1.75 1.3 1.75 0.8	ataptika	0	61	
76	Mayangna	14.13	-84.34	maya1285	Misumalpan	FAR	nai	n a i	4 7 7	AXZ	NAI	2	2.N.C 2.A.V 2.I.V	2.0 1.5 0.8	nai	0	64	n a i
128	Ulwa	12.93	-83.58	ulwa1239	Misumalpan	FAR	bai	b a i	1 7 7	AXZ	PAI	4	4.P.C 4.A.V 4.I.V	2.0 1.5 0.8	bai	0	64	b a i
179	Miskito	15.1576	-84.2942	misk1235	Misumalpan	FAR	laiura	l a i u r a	5 7 7 7 5 7	AXYYBZ	LAIYRA	3	3.L.C 3.A.V 3.I.V 3.Y.V 3.R.C 3.A.V	2.0 1.5 1.3 1.3 1.75 0.8	laiura	0	63	
17	Cacaopera	13.74	-88.11	caca1247	Misumalpan	FIRE	lawali	l a w a l i	5 7 6 7 5 7	AXBYBZ	LAWALI	1	1.L.C 1.A.V 1.W.C 1.A.V 1.L.C 1.I.V	2.0 1.5 1.75 1.3 1.75 0.8	lawali	0	65	
69	Mayangna	14.13	-84.34	maya1285	Misumalpan	FIRE	kuh	k u h	1 7 3	AXN	KYH	2	2.K.C 2.Y.V 2.H.c	2.0 1.5 0.8	kuh	0	66	k u h
121	Ulwa	12.93	-83.58	ulwa1239	Misumalpan	FIRE	kuh	k u h	1 7 3	AXN	KYH	4	4.K.C 4.Y.V 4.H.c	2.0 1.5 0.8	kuh	0	66	k u h
180	Miskito	15.1576	-84.2942	misk1235	Misumalpan	FIRE	pauta	p a u t a	1 7 7 1 7	AXYBZ	PAYTA	3	3.P.C 3.A.V 3.Y.V 3.T.C 3.A.V	2.0 1.5 1.3 1.75 0.8	pauta	0	67	
38	Cacaopera	13.74	-88.11	caca1247	Misumalpan	FISH	jal	j a l	6 7 5	AXN	JAL	1	1.J.C 1.A.V 1.L.c	2.0 1.5 0.8	jal	0	68	
90	Mayangna	14.13	-84.34	maya1285	Misumalpan	FISH	was padini	w a s + p a d i n i	6 7 3 9 1 7 1 7 4 7	AXN_AXBYBZ	WAS_PATINI	2	2.W.C 2.A.V 2.S.c 2._._ 2.P.C 2.A.V 2.T.C 2.I.V 2.N.C 2.I.V	2.0 1.5 0.8 0.0 2.0 1.5 1.75 1.3 1.75 0.8	was+padini	0	69	w a s + p a d i n i
142	Ulwa	12.93	-83.58	ulwa1239	Misumalpan	FISH	was padika	w a s + p a d i k a	6 7 3 9 1 7 1 7 1 7	AXN_AXBYBZ	WAS_PATIKA	4	4.W.C 4.A.V 4.S.c 4._._ 4.P.C 4.A.V 4.T.C 4.I.V 4.K.C 4.A.V	2.0 1.5 0.8 0.0 2.0 1.5 1.75 1.3 1.75 0.8	was+padika	0	69	w a s + p a d i k a
181	Miskito	15.1576	-84.2942	misk1235	Misumalpan	FISH	inska	i n s k a	7 4 3 1 7	XLMBZ	INSKA	3	3.I.V 3.N.c 3.S.c 3.K.C 3.A.V	1.5 1.1 1.1 1.75 0.8	inska	0	70	
182	Miskito	15.1576	-84.2942	misk1235	Misumalpan	FLY (INSECT)	palaia	p a l a i a	1 7 5 7 7 7	AXBYYZ	PALAIA	3	3.P.C 3.A.V 3.L.C 3.A.V 3.I.V 3.A.V	2.0 1.5 1.75 1.3 1.3 0.8	palaia	0	71	
13	Cacaopera	13.74	-88.11	caca1247	Misumalpan	GIVE	a	a	7	X	A	1	1.A.V	1.5	a	0	72	a
65	Mayangna	14.13	-84.34	maya1285	Misumalpan	GIVE	a:	aː	7	X	A	2	2.A.V	1.5	aː	0	72	aː
117	Ulwa	12.93	-83.58	ulwa1239	Misumalpan	GIVE	a:	aː	7	X	A	4	4.A.V	1.5	aː	0	72	aː
183	Miskito	15.1576	-84.2942	misk1235	Misumalpan	GIVE	yabaia	j a b a i a	6 7 1 7 7 7	AXBYYZ	JAPAIA	3	3.J.C 3.A.V 3.P.C 3.A.V 3.I.V 3.A.V	2.0 1.5 1.75 1.3 1.3 0.8	jabaia	0	73	
184	Miskito	15.1576	-84.2942	misk1235	Misumalpan	GO	waia	w a i a	6 7 7 7	AXYZ	WAIA	3	3.W.C 3.A.V 3.I.V 3.A.V	2.0 1.5 1.3 0.8	waia	0	74	
6	Cacaopera	13.74	-88.11	caca1247	Misumalpan	GOOD	kua	k u a	1 7 7	AXZ	KYA	1	1.K.C 1.Y.V 1.A.V	2.0 1.5 0.8	kua	0	75	
58	Mayangna	14.13	-84.34	maya1285	Misumalpan	GOOD	jamni	j a m n i	6 7 4 4 7	AXMBZ	JAMNI	2	2.J.C 2.A.V 2.M.c 2.N.C 2.I.V	2.0 1.5 1.1 1.75 0.8	jamni	0	76	j a m ( n i )
110	Ulwa	12.93	-83.58	ulwa1239	Misumalpan	GOOD	jamka	j a m k a	6 7 4 1 7	AXMBZ	JAMKA	4	4.J.C 4.A.V 4.M.c 4.K.C 4.A.V	2.0 1.5 1.1 1.75 0.8	jamka	0	76	j a m ( k a )
185	Miskito	15.1576	-84.2942	misk1235	Misumalpan	GOOD	yamni	j a m n i	6 7 4 4 7	AXMBZ	JAMNI	3	3.J.C 3.A.V 3.M.c 3.N.C 3.I.V	2.0 1.5 1.1 1.75 0.8	jamni	0	76	j a m ( n i )
7	Cacaopera	13.74	-88.11	caca1247	Misumalpan	HAIR	kili	k i l i	1 7 5 7	AXBZ	KILI	1	1.K.C 1.I.V 1.L.C 1.I.V	2.0 1.5 1.75 0.8	kili	0	78	
59	Mayangna	14.13	-84.34	maya1285	Misumalpan	HAIR	bas	b a s	1 7 3	AXN	PAS	2	2.P.C 2.A.V 2.S.c	2.0 1.5 0.8	bas	0	79	
111	Ulwa	12.93	-83.58	ulwa1239	Misumalpan	HAIR	bas	b a s	1 7 3	AXN	PAS	4	4.P.C 4.A.V 4.S.c	2.0 1.5 0.8	bas	0	79	
186	Miskito	15.1576	-84.2942	misk1235	Misumalpan	HAIR	won_tawa	w o n + t a w a	6 7 4 9 1 7 6 7	AXN_AXBZ	WUN_TAWA	3	3.W.C 3.U.V 3.N.c 3._._ 3.T.C 3.A.V 3.W.C 3.A.V	2.0 1.5 0.8 0.0 2.0 1.5 1.75 0.8	won+tawa	0	80	
187	Miskito	15.1576	-84.2942	misk1235	Misumalpan	HARD	karna	k a r n a	1 7 5 4 7	AXMBZ	KARNA	3	3.K.C 3.A.V 3.R.c 3.N.C 3.A.V	2.0 1.5 1.1 1.75 0.8	karna	0	81	
