ID	DOCULECT	LATITUDE	LONGITUDE	GLOTTOCODE	FAMILY	CONCEPT	FORM	TOKENS	COGID	ALIGNMENT
#@_selected_concepts=ASH|BARK|BIG|BIRD|BITE|BLACK|BLOOD|BONE|BREAST|COME|CRY|CUT|DOG|DRINK|EAR|EARTH (SOIL)|EAT|EYE|FALL|FAR|FIRE|FISH|GIVE|GOOD|HAIR|HARD|HEAR|HEAVY|I|LAUGH|LEAF|LIVER|LONG|MOUNTAIN|MOUTH|NECK|NEW|NIGHT|NOSE|NOT|OLD|ONE|RED|SALT|SAND|SAY|SEE|SMALL|SMOKE (EXHAUST)|TAIL|THIS|THOU|THREE|TONGUE|TOOTH|TREE|TWO|WATER|WHAT|WIND|WOMAN
#@sorted_taxa=Cacaopera|Mayangna|Miskito|Ulwa
#@sorted_concepts=ASH|BARK|BIG|BIRD|BITE|BLACK|BLOOD|BONE|BREAST|COME|CRY|CUT|DOG|DRINK|EAR|EARTH (SOIL)|EAT|EYE|FALL|FAR|FIRE|FISH|GIVE|GOOD|HAIR|HARD|HEAR|HEAVY|I|LAUGH|LEAF|LIVER|LONG|MOUNTAIN|MOUTH|NECK|NEW|NIGHT|NOSE|NOT|OLD|ONE|RED|SALT|SAND|SAY|SEE|SMALL|SMOKE (EXHAUST)|TAIL|THIS|THOU|THREE|TONGUE|TOOTH|TREE|TWO|WATER|WHAT|WIND|WOMAN
#@display=filedisplay|cognates|patterns
#@missing_marker=Ø
#@separator=
#@gap_marker=-
#@formatter=COGID
#@root_formatter=false
#@note_formatter=undefined
#@pattern_formatter=undefined
#@publish=undefined
#@_almcol=ALIGNMENT
#@filename=misumalpam.tsv
#@navbar=true
#@_morphology_mode=full
